epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,647.695,0.65877,3.82671,0.85801,0.02312,0.39084,0.0495,0.04375,0.46883,3.59562,0.90088,0.000100482,0.000100482,0.000100482
44,659.612,0.66034,3.83546,0.86592,0.02377,0.41012,0.05091,0.04559,0.45441,3.58289,0.90045,9.87796e-05,9.87796e-05,9.87796e-05
45,671.712,0.69246,3.82007,0.86198,0.02582,0.42546,0.0546,0.04995,0.40624,3.55975,0.89855,9.70768e-05,9.70768e-05,9.70768e-05
46,683.749,0.6451,3.77085,0.84999,0.02668,0.44279,0.06067,0.05616,0.41999,3.54132,0.89832,9.5374e-05,9.5374e-05,9.5374e-05
47,695.724,0.67019,3.74789,0.84722,0.02781,0.45575,0.06458,0.05867,0.4251,3.52327,0.8971,9.36712e-05,9.36712e-05,9.36712e-05
48,707.811,0.61885,3.72603,0.85125,0.02969,0.46907,0.06717,0.06183,0.40518,3.50385,0.89615,9.19684e-05,9.19684e-05,9.19684e-05
49,719.702,0.65036,3.70897,0.85278,0.03013,0.49028,0.07664,0.06979,0.41541,3.44654,0.89453,9.02656e-05,9.02656e-05,9.02656e-05
50,731.653,0.69544,3.67077,0.84645,0.0296,0.49259,0.07895,0.07197,0.41564,3.399,0.8933,8.85628e-05,8.85628e-05,8.85628e-05
51,743.702,0.66234,3.65972,0.8473,0.31224,0.23494,0.08608,0.0798,0.37912,3.28747,0.89043,8.686e-05,8.686e-05,8.686e-05
52,755.772,0.66826,3.6609,0.8441,0.3342,0.20283,0.08974,0.08348,0.3893,3.26233,0.8901,8.51572e-05,8.51572e-05,8.51572e-05
53,767.864,0.62446,3.6355,0.84617,0.03686,0.54985,0.10469,0.09718,0.42621,3.28667,0.89222,8.34544e-05,8.34544e-05,8.34544e-05
